18.3544	3491	204
18.3967	3499	204
18.4409	3508	204
18.4838	3517	205
18.517	3523	205
18.5659	3533	205
18.5887	3537	206
18.6025	3540	206
18.6142	3542	206
18.6462	3548	208
18.6462	3549	208
18.6618	3552	208
18.6859	3558	207
18.8448	3591	203
18.8631	3596	204
18.8736	3598	204
18.8925	3602	205
18.899	3604	205
18.9083	3606	205
18.9221	3609	205
18.9221	3610	205
18.9325	3613	205
18.943	3615	206
18.9574	3618	206
19.2055	3660	209
19.2491	3668	209
19.2491	3669	209
19.2932	3677	210
19.3037	3680	209
19.3491	3689	210
19.4056	3701	209
19.5601	3728	211
19.618	3740	211
19.6558	3747	211
19.6714	3751	211
19.875	3793	207
19.9154	3802	211
19.9292	3805	212
19.9487	3811	212
19.9616	3815	211
19.9715	3817	211
